Zona	Condominio	Unidad	Piso	Tipo
Aldea Zama	Aguasanta	1	Planta baja	Departamento
Region 12	Casa Toh (Surenna)	-	Planta baja	Casa
Mun Tulum	Mun Townhouse	8	Planta baja	TownHouse
Aldea Tulum	Aldea Tulum Plus	T52	Tercer Piso	Departamento
Aldea Zama	Querido Tulum	103	Planta baja	Departamento
Aldea Zama	Casa Natura	201	Primer Piso	Departamento
La Veleta	Rosa de Plata	F101	Segundo Piso	Studio
La Veleta	Condos Ocho	B6	PenThouse	PentHouse
Tumben kaa	Miel y Almendras	3	Planta baja	Departamento
Region 15	Mistiq Gardens I	213	PenThouse	PentHouse
La Veleta	Central Park Lagunas	E101	Planta baja	Studio
La Veleta	Sukha	308	Tercer Piso	Departamento
Tumben kaa	Xunik	B102	Planta baja	Studio
Tumben kaa	Xunik	T1 #105	Planta baja	Studio
Tumben kaa	Xunik	B103	Planta baja	Departamento
Centro	Mama Blue	La Vie Boheme	Planta baja	Loft
Centro	Menesse	306		Studio
Region 15	Mistiq Gardens I	302	PenThouse	PentHouse
Region 15	Mistiq Gardens I	307	PenThouse	PentHouse
La Veleta	Cacao	D201	Primer Piso	Departamento
La Veleta	Smart Depas	A105	Planta baja	Departamento
La Veleta	Smart Depas	A106	Planta baja	Departamento
La Veleta	Smart Depas	B104	Planta baja	Departamento
La Veleta	Smart Depas	B206	Primer Piso	Departamento
La Veleta	Smart Depas	C203	Primer Piso	Departamento
La Veleta	Smart Depas	C205	Primer Piso	Departamento
La Veleta	Smart Depas	D104	Planta baja	Departamento
Region 15	Mistiq Gardens I	104	Primer Piso	Departamento
Aldea Zama	Brava Towers 	410	PenThouse	PentHouse
Kukulkan	Mistiq Tulum	A201	Primer Piso	Departamento
Kukulkan	Mistiq Tulum	H201	Primer Piso	Departamento
Kukulkan	Mistiq Tulum	H204	Primer Piso	Departamento
Kukulkan	Mistiq Tulum	H104	Planta baja	Departamento
Region 15	Mistiq Gardens I	105	Planta baja	Studio
Region 15	Mistiq Gardens I	117	Planta baja	Studio
Region 15	Mistiq Gardens I	211	Primer Piso	Studio
Region 15	Mistiq Gardens I	212	Primer Piso	Studio
Region 15	Mistiq Gardens I	214	Primer Piso	Studio
Region 15	Mistiq Gardens I	221	Primer Piso	Studio
Region 15	Mistiq Gardens I	305	Segundo Piso	Departamento
Region 15	Mistiq Temple I	B208	Primer Piso	Studio
Region 15	Mistiq Temple II	B202	Primer Piso	Studio
Region 15	Mistiq Temple I	B207	Primer Piso	Studio
Region 15	Mistiq Temple II	B201	Primer Piso	Studio
Region 15	Mistiq Temple II	B110	Planta baja	Loft
Region 15	Mistiq Temple II	B111	Planta baja	Loft
La Veleta	Kaatal Oox	5	Planta baja	Villa
La Veleta	Casa Libelula	-	Planta baja	Casa
Centro	Samsara	F226	Segundo Piso	Departamento
La Veleta	Panoramic	PH 3C	PenThouse	studio PH
Aldea Zama	Casa Natura	204	Primer Piso	Departamento
Kukulkan	Mistiq Tulum	B303	PenThouse	PentHouse
Kukulkan	Mistiq Tulum	F103	Planta baja	Studio
Region 15	Mistiq Temple I	C301	Segundo Piso	Studio
Region 15	Mistiq Temple I	C305	Segundo Piso	Studio
Region 15	Mistiq Temple II	A114	Planta baja	Loft
Region 15	Mistiq Temple II	B112	Planta baja	Loft
Region 15	Mistiq Temple II	B208	Primer Piso	Studio
Region 15	Mistiq Temple II	B304	Segundo Piso	Studio
Region 15	Mistiq Temple II	B305	Segundo Piso	Studio
Region 15	Mistiq Temple II	B403	Tercer Piso	Studio
Aldea Zama	Brava Towers 	412	PenThouse	PentHouse
Aldea Zama	Mirak		PenThouse	PentHouse
Region 15	Mistiq Temple II	B404	PenThouse	PentHouse
Region 15	Mistiq Temple II	C208	Primer Piso	Studio
Region 15	Mistiq Temple II	C209	Primer Piso	Studio
Region 15	Mistiq Temple II	C303	Tercer Piso	Departamento
Region 15	Mistiq Villas	29	Planta baja	Villa
Region 15	Mistiq Villas	28	Planta baja	Villa
Region 15	Mistiq Villas	25	Planta baja	Villa
Region 15	Mistiq Villas	26	Planta baja	Villa
La Veleta	Sukha	301	Segundo Piso	Departamento
Selva Norte	Kayum	102	Planta baja	Departamento
Region 15	Mistiq Villas	20	Planta baja	Villa
Riviera Tulum	Residencial		Planta baja	Departamento
La Veleta	Magnolias	B2	Primer Piso	Departamento
Tumben kaa	Casa Blanca	-	Planta baja	Casa
La Veleta	Palalma Tierra	38	Segundo Piso	Departamento
Aldea Zama	Casa Melón	-	Planta baja	Casa
Aldea Zama	Oceano	8	PenThouse	PentHouse
Aldea Zama	Oceano	6	PenThouse	PentHouse
La Veleta	Baay	8	Segundo Piso	Departamento
Centro	Kiimak Tulum	3	Primer Piso	Departamento
Aldea Zama	Casa Jaax		Planta baja	Casa
Centro	Mayapax	F	Segundo Piso	Departamento
La Veleta	Kamil Ha	201	Primer Piso	Departamento
La Veleta	Piaf	1	Planta baja	Departamento
La Veleta	DK Tulum	232	Segundo Piso	Studio
Centro	Tierra Santa	204	Primer Piso	Departamento
Tumben kaa	Luz Tulum	B301	Segundo Piso	Departamento
Region 15	Mistiq Temple I	B109	Planta baja	Loft
Region 15	Mistiq Villas	15 (sin muebles)	Planta baja	Villa
La Veleta	Palalma Tierra	15	Primer Piso	Departamento
Villas Tulum	Paam Cheel	202	Primer Piso	Studio
Centro	Hotel Kassia		Planta baja	Edificio
Aldea Tulum	Aldea Tulum	201	Primer Piso	Departamento
Yax-Kin	Casa Privada	-	Planta baja	Casa
La Veleta	Condos Ocho	B5	PenThouse	PentHouse
Region 15	Mistiq Gardens II	15	Planta baja	Loft
La Veleta	Erena	510	Segundo Piso	Studio
La Veleta	Erena	305	Segundo Piso	Studio
Av coba	Edena by Tao	88	Planta baja	Casa
Aldea Zama	Paramar Black	14	Planta baja	Departamento
Aldea Zama	Ophelia 	105	Planta baja	Departamento
Region 15	Chaac	215	Primer Piso	Studio
Kukulkan	Mistiq Tulum	A204	Primer Piso	Departamento
Region 15	Mistiq Gardens I	124	Segundo Piso	Studio
Aldea Zama	Yakuntik	Copal #101	Primer Piso	Studio
Aldea Zama	Yakuntik	Ceiba Pentandra #106	Planta baja	Departamento
Aldea Zama	Yakuntik	Copal #201	Primer Piso	Studio
Aldea Zama	Yakuntik	Balche #202	Primer Piso	Departamento
Aldea Zama	Yakuntik	Chit #301	PenThouse	PentHouse
Region 15	Zizal	103	Planta baja	Departamento
Region 15	Zizal	202	Primer Piso	Departamento
Region 15	Zizal	203	Primer Piso	Departamento
Region 15	Zizal	205	Primer Piso	Departamento
Region 15	Zizal	302	Segundo Piso	Studio
Region 15	Zizal	303	Segundo Piso	Studio
Region 15	Zizal	305	Segundo Piso	Studio
Cenote Caracol	Casa Giselle	-	Planta baja	Casa
Cenote Caracol	Casa Aneli	-	Planta baja	Casa
Kukulkan	Mistiq Tulum	A301	PenThouse	PentHouse
Kukulkan	Adora	204	Primer Piso	Departamento
La Veleta	Palalma Tierra	8	Planta baja	Departamento
La Veleta	Palalma Casa	7	Planta baja	Departamento
La Veleta	Coco Village	C1	Planta baja	Departamento
Akumal	Villa Tao		Planta baja	Villa
Region 15	Mistiq Temple ll	B212	PenThouse	PentHouse
La Veleta	Cacao	E101	Planta baja	Studio
Region 15	Areia 	F3 #7	Segundo Piso	Departamento
Av coba	Edena by Tao	73 sin muebles	Planta baja	Casa
Centro	Tuk Vientos	207	Segundo Piso	Departamento
Region 15	Mistiq Gardens II	303	Segundo Piso	Departamento
Kukulkan	Mistiq Tulum	B201	Segundo Piso	Departamento
Aldea Zama	Lik Zama 	202	Primer Piso	Studio
Region 15	Mistiq Temple I	A401	PenThouse	PentHouse
Kukulkan	Adora	7	Planta baja	Villa
Aldea Tulum	Aldea Tulum	Fer	Primer Piso	Departamento
La Veleta	Luxury Condo	#3	Planta baja	Departamento
La Veleta	Edificio Zoe 			Edificio
Limas	Limas Tulum	111	Primer Piso	Departamento
La Veleta	Coco Village	B2	Primer Piso	Departamento
Region 15	Xibalba	23	Planta baja	Departamento
Kukulkan	Adora	304	Primer Piso	Studio
Kukulkan	Adora	101	Planta baja	Departamento
Region 15	Mistiq Temple II	A401	PenThouse	PentHouse
Region 12	Aldea Savia 	603E	Planta baja	Studio
Aldea Zama	Kune	207	Primer Piso	Departamento
Av coba	Edena by Tao	60 (sin muebles)	Planta baja	Casa
Aldea Tulum	Aldea Tulum		Segundo Piso	Departamento
Region 11	Casa Camel	-	Planta baja	Casa
Bahia Principe	Condominio Baalam	-	Planta baja	Casa
Akumal	Siete Gotas		Planta baja	Departamento
Holistika	Amar Tulum	Muuka 		Departamento
La Veleta	Cacao 	C104	Planta baja	Studio
Villas Tulum	Paraiso Chaak		Primer Piso	Departamento
Villas Tulum	Tuane	802	Planta baja	Departamento
La Veleta	Villa El Canto		Planta baja	Villa
La Veleta	Etnica Ku		Planta baja	Departamento
Aldea Zama	Tao	123	Planta baja	Departamento
Centro	Tuk Vientos	307	Segundo Piso	Departamento
Av coba	Bo's Home		Planta baja	Casa
Aldea Zama	Calakmul	101	Planta baja	Departamento
Centro	Maria Tulum	203	Primer Piso	Departamento
Kukulkan	Naia Tulum	B11	Primer Piso	Departamento
Region 15	Solemn 	401	PenThouse	PentHouse
Kukulkan	Blue Luxury Kukulkan	01 C	Planta baja	Departamento
Kukulkan	Blue Luxury Kukulkan	PH E	PenThouse	PentHouse
Aldea Tulum	Aldea Tulum Plus	T1 3B	Tercer Piso	Departamento
Aldea Tulum	Aldea Tulum	P-404	Tercer Piso	Departamento
Macario Gomez	Macario Gomez		Planta baja	Departamento
Tumben kaa	Distrito La Selva	6	Planta baja	Casa
Gran Sirenis	G. Sirenis ed. La selva	D302	Planta baja	Departamento
Av coba	Edena by Tao	46	Planta baja	Casa
Region 15	Solemn 	105	Primer Piso	Departamento
Region 15	Solemn 	102	Planta baja	Studio
La Veleta	Casa Purusha	-	Planta baja	Casa
Region 15	Mistiq Temple I	B111	Planta baja	Loft
Region 15	Mistiq Gardens I	7	Planta baja	Loft
Villas Tulum	Paam Cheel	104	Planta baja	Studio
Region 15	Mistiq Villas	14	Planta baja	Departamento
Bahia Principe	Anah Village	B15	Planta baja	Departamento
Bahia Principe	Anah Village	B44	Cuarto Piso	Departamento
Tumben kaa	Casa Lagunas	-	Planta baja	Casa
Tumben kaa	(Palma Central)	2 unidades	Primer Piso	Departamento
Aldea Zama	Estela Tulum	(sin muebles)	PenThouse	PentHouse
Aldea Zama	Casa Chacah	-	Planta baja	Casa
Region 12	Aldea Savia F2	 G64	Planta baja	Departamento
Region 15	AAK	L1	Planta baja	Departamento
La Veleta	Boni Gardens	4	Primer Piso	Loft
La Veleta	Condos Che 721		Planta baja	Departamento
Aldea Zama	Casa Kuk	-	Planta baja	Casa
Limas	Limas Tulum	313	Primer Piso	Departamento
Limas	Limas Tulum	402 (sin muebles)	Planta baja	Departamento
Limas	Limas Tulum	901 (sin muebles)	Planta baja	Departamento
La Veleta	Smart Depas	C208 sin muebles	Primer Piso	Departamento
La Veleta	Palalma casa	26	Primer Piso	Departamento
Region 15	Koah 	7	Planta baja	Studio
Region 15	Mistiq Gardens I	102	Primer Piso	Studio
Aldea Tulum	Aldea Tulum	casa Baax al	Primer Piso	Departamento
Riviera Tulum	Riviera Tulum		Planta baja	Casa
La Veleta	Asana Leaf 	Casa 1	Planta baja	Casa
Kukulkan	Mistiq Tulum	D303	Tercer Piso	Departamento
Kukulkan	Mistiq Tulum	G301	Tercer Piso	PentHouse
Kukulkan	Blue Luxury Kukulkan	PH A	Cuarto Piso	PentHouse
Centro	Locales Plaza Hexa		A disponibilidad	Local Comercial
Aldea Zama	Casa Nirvana	-	Planta baja	Casa
Aldea Tulum	Aldea Tulum	(sin muebles)	Planta baja	Departamento
La Veleta	Palalma Tierra 	16	Primer Piso	Departamento
La Veleta	Condos Ocho 	C3	Primer Piso	Departamento
Region 15	Mistiq Gardens ll	31	Planta baja	Loft
km 8 Tulum/Coba	Casa Arekas	-	Planta baja	Casa
Aldea Zama	Miraluna	322	PenThouse	PentHouse
Aldea Zama	Zama Tower	304	Segundo Piso	Departamento
Villas Tulum	Paraiso Chaak 	10	Primer Piso	Departamento
La Veleta	Naia Naay	H305	Primer Piso	Departamento
Bahia Principe	Anah suites	A14	Primer Piso	Departamento
Aldea Zama	Estela Tulum		Planta baja	Departamento
Aldea Zama	Estela Tulum	D203	Primer Piso	Departamento
Region 15	Mistiq Temple II	B210	Primer Piso	Studio
Aldea Zama	Zama Tower	B109		Departamento
Aldea Zama	Estela Tulum	D101 (sin muebles)	Planta baja	Departamento
Aldea Zama	Estela Tulum	B302 (sin muebles)	Primer Piso	Departamento
La Veleta	Erena	107 (sin muebles)	Planta baja	Studio
La Veleta	Erena	301 (sin muebles)	Primer Piso	Studio
Region 15	Muuk	112	Planta baja	Studio
Aldea Zama	Omara	210	Primer Piso	Departamento
Tumben kaa	Tulix	12	Planta baja	Casa
La Veleta	Villa Cielo Tulum		Planta baja	Villa
Region 15	Mistiq Temple I	-	Planta baja	Restaurante
Selva Norte	Selva Norte	Balche 49	Planta baja	Casa
Limas	Limas Tulum	303	Planta baja	Departamento
La Veleta	Mulatte	5		Studio
La Veleta	Casa Veleta	-	Planta baja	Casa
Aldea Zama	Zama Village	Casa Elisa	Planta baja	Departamento
Aldea Zama	Estudio en renta		Primer Piso	Studio
Aldea Zama	Casa Yaax	-	Planta baja	Villa
Holistika	Amar Tulum	301	Planta baja	Departamento
La Veleta	Acinte	A8	Planta baja	Departamento
Kukulkan	Noil Villas	2D	Planta baja	Casa
Region 15	Noil Residences	PP8	Primer Piso	Departamento
La Veleta	Casa Selva	-	Primer Piso	Departamento
La Veleta	Casa Rosi	-		Casa
La Veleta	Casa privada en la veleta	-	Planta baja	Casa
Aldea Zama	Ophelia 	317	PenThouse	PentHouse
Aldea Zama	Bungalows village	218	Primer Piso	Departamento
Aldea Zama	Bungalows village	225	Primer Piso	Departamento
Tumben kaa	Xunik	 T3 #102	Planta baja	Departamento
Tumben kaa	Xunik	T4 #304	Tercer Piso	Departamento
Region 11	Casa Coral	-	Planta baja	Casa
Aldea Zama	Town Center	T6 #101	Primer Piso	Departamento
Kukulkan	Noil Villas	2C (sin muebles)	Planta baja	Villa
Centro	Maria Tulum	113	Planta baja	Departamento
Aldea Tulum	ALDEA TULUM PLUS	T48 2A	Primer Piso	Departamento
Av coba	Edena by Tao	111	Planta baja	Casa
Tumben kaa	Tulix	24	Planta baja	Casa
Region 15	Neo +	3	Planta baja	Studio
Aldea Zama	Yakuntik	Kerpis #305	Planta baja	Departamento
Aldea Zama	Yakuntik	Zapote #210	Primer Piso	Departamento
Holistika	Amar Tulum	LUNA 402	Primer Piso	Departamento
Selva Norte	Copal	301	PenThouse	PentHouse
La Veleta	Erena	512	Cuarto Piso	Studio
Aldea Zama	Ophelia 	310	Primer Piso	Departamento
Aldea Zama	Origen Jungle	1D	Planta baja	Departamento
Aldea Zama	Origen Jungle	2D	Primer Piso	Departamento
Aldea Zama	Origen Jungle	3D	PenThouse	PentHouse
Kukulkan	Adora	102	Planta baja	Departamento
Aldea Zama	Katia Residence	213	Segundo Piso	Studio
Region 15	Xibalba	216	Segundo Piso	Studio
La Veleta	Baay	1	Planta baja	Departamento
La Veleta	Baay	2	Planta baja	Departamento
La Veleta	Balba	1	Planta baja	Studio
Region 15	Angelique	304	PenThouse	PentHouse
Villas Tulum	VILLAS TULUM		Planta baja	Departamento
Riviera Tulum	Casa Paradise	-	Planta baja	Casa
Region 15	Zizal	102 (serv incl)	Planta baja	Departamento
Region 15	Zizal	106	Planta baja	Departamento
La Veleta	Cacao 	D202	Primer Piso	Departamento
Villas Tulum	Tuane	302	Planta baja	Departamento
Villas Tulum	Tuane	401	Planta baja	Departamento
Aldea Zama	Coati	201	Primer Piso	Departamento
Kukulkan	Loch Condo	401	Tercer Piso	Departamento
Holistika	Ahal 1	102	Planta baja	Departamento
Centro	Tuk Viento	107	Primer Piso	Departamento
Av coba	Humana	F101	Planta baja	Departamento
Region 15	Muuk	301	Primer Piso	Studio
Villas Tulum	Homes	106	Planta baja	Departamento
Villas Tulum	Homes	205	Primer Piso	Departamento
La Veleta	Xiimbal	212	Primer Piso	Departamento
Kukulkan	Mistiq Tulum	D301	PenThouse	PentHouse
Region 15	Reverence	103	Planta baja	Studio
Region 15	Reverence	102	Planta baja	Studio
La Veleta	Casa Chehchen	casa rolis	Planta baja	Casa
La Veleta	Casa Chehchen	casa laura	Primer Piso	Casa
La Veleta	Casa Chehchen	estudio sky	Primer Piso	Studio
Region 15	Mistiq Temple ll	A112	Planta baja	Loft
Zona hotelera 	Casa Amor	-		Villa
Region 12	Aldea Savia F2	523	Primer Piso	Studio
Region 15	Mistiq Gardens I	11	Planta baja	Loft
La Veleta	Mulatte		Primer Piso	Departamento
La Veleta	Edificio Baay			Edificio
Holistika	Ahal 2	T4 402	Primer Piso	Studio
La Veleta	Boni Gardens	L3	Primer Piso	Loft
Aldea Zama	Itza 1	102	Planta baja	Departamento
Limas	Limas Tulum	302 (sin muebles)	Planta baja	Departamento
Kukulkan	Mistiq Tulum	D201	Primer Piso	Departamento
Kukulkan	Mistiq Tulum	F202	Primer Piso	Studio
Bahia Principe	Anah Village	B41	Tercer Piso	Departamento
Holistika	Amar Tulum	401	Planta baja	Departamento
Centro	Kiimak	4	Primer Piso	Departamento
Centro	Kiimak	1	Planta baja	Departamento
Akumal	Santamar by tao	A307	PenThouse	PentHouse
Bahia Principe	Anah Suites	C307	Primer Piso	Departamento
Kukulkan	Mistiq Tulum	C304	Segundo Piso	Departamento
Aldea Zama	Naj Tulum	2B	Planta baja	Studio
Aldea Zama	Naj Tulum	1B	Planta baja	Studio
Aldea Tulum	Aldea Tulum	B2 - 101	Planta baja	Departamento
Kukulkan	Mistiq Tulum	D302	PenThouse	PentHouse
Kukulkan	Mistiq Tulum	C301	PenThouse	PentHouse
Kukulkan	Mistiq Tulum	J303	Segundo Piso	Departamento
Kukulkan	Mistiq Tulum 	B204	Segundo Piso	Departamento
Kukulkan	Mistiq Tulum	F201	Primer Piso	Departamento
Aldea Tulum	Aldea Tulum	Mz 8 Lt1 #50	Primer Piso	Departamento
Region 15	Mistiq Villas	28	Planta baja	Villa
La Veleta	Asana Leaf 	4	Planta baja	Casa
Region 15	Mistiq Temple II	A402	PenThouse	PentHouse
Region 15	Xibalba	111	Segundo Piso	Studio
Aldea Zama	Parque Zama	T4 D202	Segundo Piso	Departamento
Tumben kaa	Xunik	T3 #304	Segundo Piso	Studio
La Veleta	Naia Naay	E302	Segundo Piso	Departamento
Tumben kaa	Jabali	13	Primer Piso	Departamento
Region 15	Angelique	302	PenThouse	studio PH
Limas	Limas Tulum	312	Primer Piso	Departamento
Region 15	Angelique	101	Planta baja	Departamento
Region 15	Jade	30	Primer Piso	Studio
La Veleta	Xamira	36	Segundo Piso	Studio
Aldea Zama	Amelia	107	Planta baja	Departamento
Aldea Tulum	Aldea Tulum Plus 	T49 4A	Tercer Piso	Departamento
Centro	Bakal	413	PenThouse	studio PH
Kukulkan	Mistiq Tulum	G101	Planta baja	Departamento
Holistika	Villa Guacamaya		Planta baja	Villa
La Veleta	Casa Chehchen	casa #1	Planta baja	Casa
Region 15	Mistiq Gardens I	209	Segundo Piso	Departamento
Region 15	Mistiq Gardens I	210	Segundo Piso	Studio
Region 15	Mistiq Gardens I	222	Tercer Piso	Departamento
Aldea Zama	Yakuntik	Ceiba insignis #102	Planta baja	Departamento
Aldea Zama	Artia	106	Planta baja	Departamento
La Veleta	Asana 	1	Planta baja	Casa
Av coba	Edena by Tao	61	Planta baja	Casa
Aldea Zama	Carmela	304	PenThouse	PentHouse
Centro	Maria Tulum	313	Segundo Piso	Departamento
Aldea Zama	Miraluna	133	Planta baja	Departamento
Aldea Zama	Sanctuary Residence	201	Primer Piso	Departamento
Aldea Zama	Locales parques Zama	T3 #2	Planta baja	Local Comercial
Aldea Zama	Locales parques Zama	T3 #4	Planta baja	Local Comercial
Aldea Zama	Locales parques Zama	T4 #2	Planta baja	Local Comercial
Aldea Zama	Locales parques Zama	T4 #1	Planta baja	Local Comercial
Aldea Zama	Locales parques Zama	T3 #1	Planta baja	Local Comercial
Aldea Zama	Locales parques Zama	T4 #4	Planta baja	Local Comercial
Aldea Zama	Locales parques Zama	T2 #4	Planta baja	Local Comercial
La Veleta	Nequén	208	Segundo Piso	Departamento
Aldea Zama	Ophelia 	K4	Primer Piso	Studio
La Veleta	Casa Imox	01B	Planta baja	Studio
La Veleta	Casa Imox	202B	Primer Piso	Studio
La Veleta	Casa Imox	02A	Planta baja	Departamento
Aldea Zama	Azara	201	Primer Piso	Departamento
Aldea Zama	Azara	202	Primer Piso	Departamento
Aldea Zama	Azara 	301	Segundo Piso	Departamento
Aldea Zama	Mareas Condo	3A	PenThouse	PentHouse
Aldea Zama	Mareas Condo	2B	Primer Piso	Departamento
La Veleta	Acinte by Endémico	#B1	Primer Piso	Departamento
Av coba	Edena by Tao	10	Planta baja	Casa
La Veleta	Boni Gardens	201	Segundo Piso	Departamento
Region 15	Mistiq Villas	16	Planta baja	Villa
Aldea Tulum	Aldea Tulum Plus	T24 3B	Segundo Piso	Departamento
Region 8	Recinto	1	PenThouse	studio PH
Av coba	Edena by tao	86	Planta baja	Casa
La Veleta	Xiimbal	29	PenThouse	PentHouse
Region 15	Mistiq Temple II	#A212	Segundo Piso	Departamento
Region 15	Mistiq Temple II	#A205		Studio
Region 15	Mistiq Temple I	#A303	PenThouse	PentHouse
Region 15	Mistiq Temple II	C402	PenThouse	PentHouse
La Veleta	Nayal	5	Primer Piso	Studio
Region 15	Atia	5	Planta baja	Casa
Aldea Zama	Parque Zama	T5 202	Segundo Piso	Studio
Centro	Tuk tulum	Fuego 111		
La Veleta	Mulatte	6B		Departamento
La Veleta	Buena Vida	13	Segundo Piso	Departamento
Aldea Zama	Bonita Love and Explore	1	Planta baja	Departamento
Limas	Limas Tulum	401	Planta baja	Departamento
Tumben kaa	Villaggio Montorso	#2	Planta baja	Casa
Region 15	Mistiq Temple ll	A101	Planta baja	Loft
Aldea Zama	Paramar Viva	134	Primer Piso	Departamento
Region 15	Jade	6	Planta baja	Departamento
Region 15	Atman Residences	117	Planta baja	Villa
Region 15	Atman Residences	118	Planta baja	Villa
Aldea Tulum	Aldea Tulum F2 	201		Departamento
Region 15	Mistiq Temple I	B306	Tercer Piso	Departamento
Kukulkan	Naia Tulum	B13		Studio
Region 15	Mistiq Gardens I	18		Loft
Holistika	Ahal 3	1	Primer Piso	Departamento
Centro	Tuk tulum	Agua 102 (falta enlistar)	Primer Piso	Departamento
Centro	Tuk Tulum	Fuego 17	Planta baja	Studio
Aldea Zama	Aru Tulum	102	Planta baja	Departamento
Aldea Zama	Aru Tulum	103	Planta baja	Departamento
Region 15	Atman Residences	131	Planta baja	Villa
Aldea Zama	Paramar Viva	103	Primer Piso	Departamento
Xuul Ka	Casa Tepy	-	Planta baja	Casa
Kukulkan	Mistiq Tulum	H303	Tercer Piso	PentHouse
Aldea Zama	Azara	308	PenThouse	PentHouse
La Veleta	Blue Luxury	102E	Primer Piso	Departamento
Aldea Zama	Aru Tulum	308	Segundo Piso	Departamento
La Veleta	Casa 4 Recamaras	CA	Planta baja	Casa
Kukulkan	Mistiq Tulum	A302	Tercer Piso	PentHouse
Kukulkan	Mistiq Tulum	B101	Planta baja	Departamento
Aldea Zama	Azara	203	Primer Piso	Departamento
Zona hotelera 	Amira District	B204	Segundo Piso	Departamento
Region 15	Mistiq Temple ll	A301,B203,B207,B208,B211,B301,B302,B304,B305,B403,C201,C202,C203,C207,C208,C209,C301,C302	A disponibilidad	Studio
Region 15	Mistiq Villas 	2	Planta baja	Villa
Kukulkan	Loch Condo	104	Primer Piso	Studio
Kukulkan	Loch Condo	223	Segundo Piso	Studio
Av coba	Gardens by coba	PH01		studio PH
Av coba	Gardens by coba	204	Primer Piso	Studio
Av coba	Gardens by coba	205	Primer Piso	Studio
Aldea Zama	Zambo - Luum zama	101	Planta baja	Departamento
Region 15	Jungle paradise	213	Primer Piso	Departamento
Region 8	Canopia	110	Planta baja	Departamento
Region 15	AAK	l1	Planta baja	Departamento
La Veleta	Che Condo	1	Planta baja	Departamento
Region 15	Siwa	D1-105	Primer Piso	Departamento
Region 15	Mistiq Temple I	C104	Planta baja	Loft
Centro	Edificio BAHA	6 depas	A disponibilidad	Edificio
Region 15	Satori	301 PH	PenThouse	PentHouse
La Veleta	Maia	107	Primer Piso	Departamento
Aldea Zama	Local Anemona	101	Planta baja	Local Comercial
Riviera Tulum	Casa Riviera Tulum (sin muebles)	-	Planta baja	Casa
Kukulkan	Adora	206	Primer Piso	Departamento
Aldea Zama	Azara	302	PenThouse	PentHouse
Aldea Zama	Azara	307	PenThouse	PentHouse
Aldea Zama	Coba II	PH22	PenThouse	PentHouse
Xuul ka	Local comercial 		Planta baja	Local Comercial
Aldea Zama	Parque Zama	D301 (sin muebles)	Tercer Piso	Penthouse
Aldea Zama	Parque Zama	D306 (sin muebles)	Tercer Piso	Penthouse
Aldea Zama	Paramar Viva	18	Planta baja	Departamento
Holistika	Casa Noni	-	Planta baja	Villa
Centro	Tuk Tulum	Agua 103	Primer Piso	Departamento
La Veleta	Palalma Tierra	34	Segundo Piso	Departamento
Holistika	Amar Tulum	Alma 103	PenThouse	PentHouse
La Veleta	Naab	B301	PenThouse	studio PH
Region 15	Mistiq Temple I	C111	Planta baja	Loft
Bahia Principe	Anah Suites	A7	Planta baja	TownHouse
Region 15	Entorno Tulum	Villa 5	Planta baja	Villa
Region 15	Entorno Tulum	Villa 6	Planta baja	Villa
Gran Sirenis	Sirenis	103	Primer Piso	Departamento
Region 15	Entorno Tulum	Villa 10	Planta baja	Villa
Region 15	Mistiq Temple I	A114	Planta baja	Loft
Kukulkan	Mistiq Tulum	H301	Tercer Piso	PentHouse
Tumben kaa	Tejon	E103	Primer Piso	Departamento
Tumben kaa	Villa Tumben Kaa		Planta baja	Villa
Kukulkan	Mistiq Tulum	G104	Planta baja	Departamento
La Veleta	Villas Kuxtal		Planta baja	Villa
Aldea Zama	Bonita Love And Explore	2	Planta baja	Departamento
Tumben kaa	Loft Mayapax		Planta baja	Loft
Aldea Zama	Bonita Love And Explore	8	Tercer Piso	PentHouse
Aldea Zama	Phimai	8	Segundo Piso	Departamento
Riviera Tulum	Casa Fran	-	Planta baja	Casa
Riviera Tulum	Casa Flip	-	Planta baja	Casa
Bahia Principe	Downtown 	40	Planta baja	Villa
Region 15	Muuk	103	Planta baja	Studio
La Veleta	Central Park Lagunas	A112	Planta baja	Studio
Aldea Zama	Yaxiik	32	Planta baja	Casa
Region 15	Kanta 	2	Planta baja	Villa
Selva Norte	Ceiba 	102	Planta baja	Departamento
Aldea Zama	solum	307b	Segundo Piso	Studio
Region 15	Mistiq gardens I	125	Primer Piso	Studio
Region 15	Mistiq gardens I	119	Primer Piso	Studio
Region 15	Mistiq gardens I	5	Primer Piso	Loft
Region 15	Mistiq gardens l 	28	Primer Piso	Loft
Aldea Zama	Phimai	7B	Segundo Piso	Departamento
Region 15	mistiq gardens I	32	Primer Piso	Loft
Region 15	Mistiq Temple I	B105	Planta baja	Loft
Region 15	Mistiq Temple I	C108	Planta baja	Loft
Region 15	Mistiq Temple ll	A102	Planta baja	Loft
Region 15	Mistiq Temple ll	A109	Planta baja	Loft
Region 15	Mistiq Temple ll	C102	Planta baja	Loft
Region 15	Mistiq Temple I	A206	Segundo Piso	PentHouse
Region 15	Mistiq Temple I	C114	Planta baja	Loft
Kukulkan	Mistiq Tulum	G202	Primer Piso	Studio
Aldea Zama	Town Center	T7 #308 (semiamob)	Tercer Piso	Departamento
La Veleta	Green Oasis	-	Planta baja	Casa
