Zona	Condominio	Unidad	Piso	Tipo
Centro	Maria Tulum	237	Primer Piso	Departamento
Aldea Zama	Ik Zama	9	Planta baja	Departamento
La Veleta	Cacao	D302	PenThouse	PentHouse
Aldea Zama	Paramar Viva	10	Planta baja	Departamento
Aldea Zama	Paramar Viva	113	Primer Piso	Departamento
Aldea Zama	Paramar Viva	207	Segundo Piso	Departamento
Aldea Zama	Paramar Viva	304	PenThouse	PentHouse
La Veleta	Kaatal Oox	7	Planta baja	Villa
La Veleta	Villa Penelopa	2	Planta baja	Casa
La Veleta	Zona Nove	4	Primer Piso	Departamento
La Veleta	Zona Nove	3	Primer Piso	Departamento
La Veleta	Zona Nove	5	Primer Piso	Loft
Riviera Tulum	Casa Lili	-	Planta baja	Casa
La Veleta	Seremonia	studio	Planta baja	Studio
La Veleta	Palalma Tierra	27	Segundo Piso	Departamento
La Veleta	Palalma Tierra	19	Primer Piso	Departamento
La Veleta	Palalma Tierra	21	Tercer Piso	Departamento
La Veleta	Palalma Tierra	26	Tercer Piso	Departamento
La Veleta	Asana 	3	Planta baja	Casa
Region 12	Aldea Savia	PH 333	PenThouse	PentHouse
Region 12	Aldea Savia F1	G23	Planta baja	Departamento
Region 15	Mistiq Temple I	C106	Planta baja	Loft
Aldea Zama	Paramar Ve	5	Planta baja	Departamento
Aldea Zama	Quinto Sol	12 (serv incl)	Primer Piso	Departamento
Aldea Zama	Quinto Sol	14	Primer Piso	Departamento
La Veleta	Tanik Hotel	Boho	PenThouse	PentHouse
La Veleta	Tanik Hotel	Dark Penth	PenThouse	PentHouse
La Veleta	Palalma Tierra	18	Primer Piso	Departamento
Aldea Zama	Quinto Sol	21	Segundo Piso	Departamento
Selva Norte	Selva Norte	Nikte 101	Planta baja	Departamento
La Veleta	Villa Vidrio	-	Planta baja	Casa
Aldea Zama	Vientos Tulum	1	Planta baja	Departamento
Riviera Tulum	Casa Marta	-	Planta baja	Casa
Yax-Kin	Xun Kari	-	Planta baja	Casa
Tumben kaa	Casa Tigrillo	-	Planta baja	Casa
La Veleta	Rama	315	Segundo Piso	Departamento
Region 12	Aldea Savia F2	G55	Planta baja	Departamento
Aldea Zama	Quinto Sol	6	Primer Piso	Departamento
La Veleta	Rama	201	Primer Piso	Departamento
Aldea Tulum	Aldea Tulum	2		Departamento
Aldea Tulum	Aldea Tulum	3		Departamento
Aldea Tulum	Aldea Tulum	4		Departamento
Aldea Tulum	Aldea Tulum	5		Departamento
Aldea Tulum	Aldea Tulum	6		Departamento
Aldea Tulum	Aldea Tulum	8		Departamento
Aldea Tulum	Aldea Tulum	9		Departamento
Aldea Tulum	Aldea Tulum	11		Departamento
Aldea Tulum	Aldea Tulum	12		Departamento
Aldea Tulum	Mza.22 Ed. R1 Dpto 202	7		Departamento
Aldea Tulum	Aldea Tulum	13		Departamento
Aldea Tulum	Mz 65 ed B2 dto 302			Departamento
Region 15	Casa Amal	-	Planta baja	Casa
Riviera Tulum	Aldea Ka an		Planta baja	Departamento
Region 15	Solemn	307	Primer Piso	Studio
La Veleta	Xamira Fase 1	8	Planta baja	Studio
La Veleta	Selva Tulum	B1	Primer Piso	Departamento
Region 15	Areia	F3 14	Primer Piso	Studio
Region 15	Solemn	302	Primer Piso	Studio
Kukulkan	La coordenada perfecta	4	Planta baja	Loft
La Veleta	Condos Ocho	C1	Planta baja	Departamento
Region 15	Mistiq Temple I	A212	PenThouse	PentHouse
Kukulkan	Naia Tulum 	C15	Primer Piso	Studio
Tumben kaa	Ka An		Planta baja	Departamento
Riviera Tulum	Ware House Black		Planta baja	Casa
Aldea Zama	Eve Residences			Studio
Region 15	Mistiq Temple I	A306	Segundo Piso	Departamento
Riviera Tulum	Casa Melodia	-	Planta baja	Casa
La Veleta	Cuatro Cielos Tulum	Villa Sur	Planta baja	Villa
La Veleta	Cuatro Cielos Tulum	Villa Oeste	Planta baja	Villa
La Veleta	Cuatro Cielos Tulum	Villa Marina	Planta baja	Villa
Aldea Zama	Arba II	-		Departamento
Aldea Zama	Amira central	104	Primer Piso	Departamento
Aldea Zama	Lik Zama	306	Segundo Piso	Studio
Aldea Zama	Quinto Sol	25	Segundo Piso	Departamento
Centro	Tuk Tulum	 Fuego 312	PenThouse	PentHouse
La Veleta	Rama	301	Tercer Piso	Departamento
La Veleta	Rama	204	Segundo Piso	Departamento
La Veleta	Rama	101	Primer Piso	Departamento
Aldea Zama	Arba I	101-102-103	Planta baja	Departamento
Aldea Zama	Ophelia	302	Segundo Piso	Departamento
Aldea Zama	Ophelia		Primer Piso	Studio
Region 15	Areia 	F2 18	Segundo Piso	Studio
Kukulkan	Adora	411	PenThouse	studio PH
Kukulkan	Adora	412	PenThouse	studio PH
Kukulkan	Adora	H1	Primer Piso	Studio
Kukulkan	Adora	H2	Primer Piso	Studio
Kukulkan	Adora	H13	Primer Piso	Studio
Kukulkan	Adora	H16	Primer Piso	Studio
Kukulkan	Adora	H8	Primer Piso	Studio
Kukulkan	Adora	H17	Primer Piso	Studio
Kukulkan	Adora	H19	Primer Piso	Studio
Tumben kaa	Ka An Tulum		Primer Piso	Departamento
La Veleta	Cacao	C101	Segundo Piso	Studio
Centro	Kalmuk	306	Tercer Piso	Studio
La Veleta	Condos Ocho	D2	PenThouse	PentHouse
Aldea Zama	Quinto Sol	20	Segundo Piso	Departamento
La Veleta	Heavens Lagoon	7	Planta baja	Departamento
Centro	Tuk Tulum	Agua 107	Primer Piso	Departamento
La Veleta	Cacao	B201	Primer Piso	Studio
La Veleta	Cacao	C103	Planta baja	Studio
La Veleta	Cacao	C301	Segundo Piso	Departamento
La Veleta	Cacao	E102	Planta baja	Studio
Bahia Principe	Tao TSE	m2	Primer Piso	Departamento
Selva Norte	Kayum 	104	Planta baja	Departamento
La Veleta	Heavens Lagoon	3	Planta baja	Departamento
La Veleta	Heavens Lagoon	12	Primer Piso	Departamento
