Disponible	Zona	Condominio	Unidad	Piso	Tipo	Recámaras 	Baños
Baja de listing	La Veleta	Boni Gardens	L3	Primer Piso	Loft	2	2
Baja de listing	La Veleta	Cacao	A101	Planta baja	Departamento	1	1
Baja de listing	La Veleta	Cacao	B102	Planta baja	Departamento	1	1
Baja de listing	La Veleta	Cacao	B104	Planta baja	Departamento	1	1
Baja de listing	La Veleta	Cacao	B105	Planta baja	Departamento	1	1
Baja de listing	La Veleta	Cacao	E302	PenThouse	PentHouse	1	1
Baja de listing	La Veleta	Cacao	E303	PenThouse	PentHouse	1	1
Baja de listing	La Veleta	Cacao	D304	PenThouse	PentHouse	1	1
Baja de listing	La Veleta	Cacao	A102	Planta baja	Departamento	1	1
Baja de listing	Region 15	AAK	L1	Planta baja	Departamento	2	2
Baja de listing	La Veleta	Gautama		Planta baja	Departamento	2	2
Baja de listing	La Veleta	Palalma Casa	20	Planta baja	Departamento	2	2
Baja de listing	Aldea Zama	Ik Zama	9	Planta baja	Departamento	2	2
Baja de listing	Aldea Zama	Agua de mar 	308	PenThouse	PentHouse	2	2
Baja de listing	Aldea Zama	Estela Tulum	(sin muebles)	PenThouse	PentHouse	2	2.5
Baja de listing	Aldea Zama	Zama Tower	B109		Departamento	2	2
Baja de listing	Region 15	Mistiq gardens l 	28	Primer Piso	Loft	1	1
Baja de listing	La Veleta	Cacao	A301	PenThouse	PentHouse	2	2
Baja de listing	La Veleta	Cacao	B301	PenThouse	PentHouse	2	2
Baja de listing	Av coba	Edena by TAO	2	Planta baja	Casa	3	3
Baja de listing	Av coba	Edena by Tao	112	Planta baja	Casa	2	2
Baja de listing	Aldea Zama	Paramar Viva	206	Segundo Piso	Departamento	2	2
Baja de listing	Tumben kaa	Villaggio Montorso	#2	Planta baja	Casa	4	2
Baja de listing	Centro	Tuk Tulum	Agua 107	Primer Piso	Departamento	2	2
Baja de listing	Aldea Zama	Coati	201	Primer Piso	Departamento	3	3
Baja de listing	Tumben kaa	Casa Blanca	-	Planta baja	Casa	2	2
Baja de listing	Kukulkan	Noil Villas	2D	Planta baja	Casa	3	3
Baja de listing	Aldea Zama	Arba I	101-102-103	Planta baja	Departamento	2	2
Baja de listing	Aldea Zama	Arba I	201-202-203	Primer Piso	Departamento	2	2
Baja de listing	Aldea Zama	Arba I	301-302-303	PenThouse	PentHouse	2	2
Baja de listing	Region 15	Mistiq Villas	16	Planta baja	Villa	3	3.5
Baja de listing	Aldea Zama	Arba II	-		Departamento	2	2
Baja de listing	Centro	Maria Tulum	-	PenThouse	PentHouse	2	2
Baja de listing	Holistika	Villa Guacamaya		Planta baja	Villa	3	3.5
Baja de listing	Aldea Zama	Casa Chacah	-	Planta baja	Casa	3	3
Baja de listing	La Veleta	Casa Purusha	-	Planta baja	Casa	4	3
Baja de listing	Tumben kaa	Distrito La Selva	5	Planta baja	Casa	4	4
Baja de listing	Tumben kaa	Distrito La Selva	6	Planta baja	Casa	5	5
Baja de listing	Aldea Zama	Casa Jaax		Planta baja	Casa	4	4
Baja de listing	Zona hotelera 	Casa Amor	-		Villa	8	8
Baja de listing	La Veleta	Villa Cielo Tulum		Planta baja	Villa	4	4
Disponible	Macario Gomez	Macario Gomez		Planta baja	Departamento	1	1
Disponible	Aldea Tulum	Aldea Tulum	(sin muebles)	Planta baja	Departamento	2	1
Disponible	Tumben kaa	Xunik	T1 #101(sin muebles)	Planta baja	Studio	0	1
Disponible	Tumben kaa	Xunik	T3 #201(sin muebles)	Primer Piso	Studio	0	1
Disponible	Tumben kaa	Xunik	T5 #102(sin muebles)	Planta baja	Studio	0	1
