Disponible	Zona	Condominio	Unidad	Piso	Tipo	Recámaras 	Baños
Disponible	La Veleta	Cordelia	B4	Planta baja	Departamento	2	2
Disponible	La Veleta	Condos Ocho	B5	PenThouse	PentHouse	3	2
Disponible	Aldea Zama	Azara	307	PenThouse	PentHouse	2	2
Disponible	Av coba	Edena by tao	58	Planta baja	Casa	2	2
Disponible	Aldea Zama	Quinto Sol	3	PenThouse	PentHouse	2	2
Disponible	La Veleta	Acinte by Endémico	ph6	PenThouse	PentHouse	2	3
Disponible	Aldea Zama	Paramar Viva	211	Tercer Piso	Departamento	2	2
Disponible	Centro	Tuk Tulum	Tierra 310	PenThouse	PentHouse	1	1
Disponible	Region 12	Aldea Savia	C21	Planta baja	Casa	3	3
Disponible	Aldea Zama	Paramar Viva	11	Planta baja	Departamento	1	1
Disponible	Selva Norte	Almendro	38	Planta baja	Casa	3	2.5
Disponible	Aldea Zama	Aguasanta	1	Planta baja	Departamento	2	2
Disponible	Kukulkan	Mistiq Tulum	F103	Planta baja	Studio	0	1
Disponible	Limas	Limas Tulum	111	Primer Piso	Departamento	1	1.5
Disponible	Bahia Principe	Anah Village	B15	Planta baja	Departamento	2	2.5
Disponible	Centro	Tuk Viento	107	Primer Piso	Departamento	2	2
Disponible	Aldea Zama	Mareas Condo	3A	PenThouse	PentHouse	3	2
Disponible	Xuul Ka	Casa Tepy	-	Planta baja	Casa	3	3.5
Disponible	Kukulkan	Mistiq Tulum	G202	Primer Piso	Studio	0	1
Disponible	Aldea Zama	Town Center	T1 #104	Primer Piso	Departamento	2	2
Disponible	Kukulkan	Adora	406	PenThouse	studio PH	0	1
Disponible	Aldea Zama	Yakuntik	Ceiba Pentandra #106	Planta baja	Departamento	1	1
Disponible	Av coba	Edena by Tao	46	Planta baja	Casa	2	2
Disponible	Bahia Principe	Anah Village	B41	Tercer Piso	Departamento	2	3.5
Disponible	Aldea Zama	Yakuntik	Ceiba insignis #102	Planta baja	Departamento	2	2
Disponible	Aldea Zama	Ik Zama	14	PenThouse	PentHouse	2	2
Disponible	Aldea Zama	Azara 	301	Segundo Piso	Departamento	2	2
Disponible	Aldea Zama	Parque Zama	D301 (sin muebles)	Tercer Piso	Penthouse	3	3
Disponible	Aldea Zama	Parque Zama	D306 (sin muebles)	Tercer Piso	Penthouse	3	3
Disponible	Av coba	Edena by TAO	8	Planta baja	Casa	3	3
Disponible	Av coba	Edena by TAO	2	Planta baja	Casa	3	2
Disponible	Aldea Zama	Yakuntik	Zapote #210	Primer Piso	Departamento	2	2
Disponible	Aldea Zama	Azara	203	Primer Piso	Departamento	3	3.5
Disponible	Bahia Principe	Anah Suites	A7	Planta baja	TownHouse	2	2.5
Disponible	Holistika	Amar Tulum	202	Primer Piso	Departamento	2	2.5
Disponible	Av coba	Edena by tao	116	Planta baja	Casa	3	2
Disponible	La Veleta	Sky Tulum	S-003	Planta baja	Departamento	2	2
Disponible	Region 15	Satori	301 PH	PenThouse	PentHouse	2	2
Disponible	Region 15	Mistiq Temple ll	A206	Primer Piso	PentHouse	1	1
Disponible	Aldea Zama	Paramar Ve	5	Planta baja	Departamento	2	2
Disponible	Region 15	Mistiq Villas	15 (sin muebles)	Planta baja	Villa	3	3.5
Disponible	Kukulkan	Adora	204	Primer Piso	Departamento	2	2
Disponible	Limas	Limas Tulum	313	Primer Piso	Departamento	2	2
Disponible	Limas	Limas Tulum	302 (sin muebles)	Planta baja	Departamento	2	2
Disponible	Akumal	Santamar by tao	A307	PenThouse	PentHouse	2	2
Disponible	Limas	Limas Tulum	312	Primer Piso	Departamento	3	3
Disponible	Aldea Zama	Carmela	304	PenThouse	PentHouse	2	2.5
Disponible	Centro	Maria Tulum	313	Segundo Piso	Departamento	2	2
Disponible	Aldea Zama	Azara	202	Primer Piso	Departamento	2	2
Disponible	Av coba	Edena by Tao	10	Planta baja	Casa	3	2
Disponible	Region 15	Mistiq Temple II	#A212	Segundo Piso	Departamento	1	1
Disponible	Riviera Tulum	Casa Riviera Tulum (sin muebles)	-	Planta baja	Casa	3	3
Disponible	Aldea Zama	Azara	302	PenThouse	PentHouse	2	2
Disponible	Centro	Tuk Tulum	Tierra 307	Tercer Piso	Departamento	2	2
Disponible	Centro	Maria tulum 	7	Planta baja	Local Comercial	-	-
Disponible	La Veleta	Seremonia Selva	515	PenThouse	PentHouse	4	3
Disponible	Aldea Zama	Aru Tulum	308	Segundo Piso	Departamento	2	2
Disponible	Region 15	Mistiq Temple I	A206	Segundo Piso	PentHouse	1	1
Disponible	Centro	Maria tulum 	6	Planta baja	Local Comercial	-	-
Disponible	Centro	Maria tulum 	5	Planta baja	Local Comercial	-	-
Disponible	Centro	Maria Tulum 	2	Planta baja	Local Comercial	-	-
Disponible	Region 15	Mistiq Temple ll	B212	PenThouse	PentHouse	1	1
Disponible	Kukulkan	Adora	208	Primer Piso	Departamento	2	2
Disponible	La Veleta	Cacao	D302	PenThouse	PentHouse	2	3
Disponible	La Veleta	Villa Penelopa	2	Planta baja	Casa	2	3
Disponible	Centro	Tuk Tulum	 Fuego 312	PenThouse	PentHouse	3	3
Disponible	Macario Gomez	Casa Olivia	-	Planta baja	Casa	2	2
Disponible	Centro	Bakal 	415 PH	PenThouse	PentHouse	2	2.5
Disponible	La Veleta	Heaven 	PH	PenThouse	PentHouse	3	2.5
Disponible	Kukulkan	Mistiq Tulum	E104	Planta baja	Departamento	2	2
Disponible	Kukulkan	Mistiq Tulum	A201	Primer Piso	Departamento	2	2
Disponible	Centro	Tuk Vientos	307	Segundo Piso	Departamento	2	2
Disponible	Bahia Principe	Anah Village	B44	Cuarto Piso	Departamento	2	2.5
Disponible	Selva Norte	Selva Norte	Balche 49	Planta baja	Casa	3	3.5
Disponible	Centro	Maria Tulum	113	Planta baja	Departamento	2	2
Disponible	Aldea Zama	Origen Jungle	2D	Primer Piso	Departamento	2	2
Disponible	Av coba	Humana	F101	Planta baja	Departamento	2	2.5
Disponible	Kukulkan	Mistiq Tulum	D201	Primer Piso	Departamento	2	2
Disponible	Kukulkan	Mistiq Tulum	F201	Primer Piso	Departamento	1	1
Disponible	La Veleta	Xiimbal	29	PenThouse	PentHouse	3	2.5
Disponible	Kukulkan	Mistiq Tulum	B101	Planta baja	Departamento	2	2
Disponible	Kukulkan	Adora	206	Primer Piso	Departamento	2	2
Disponible	Xuul ka	Local comercial 		Planta baja	Local Comercial		0.5
Disponible	Bahia Principe	Anah Suites	A4	Planta baja	Departamento	2	2.5
Disponible	Kukulkan	Mistiq Tulum	G204	Planta baja	Departamento	2	2
Disponible	Kukulkan	Adora	207	Primer Piso	Departamento	2	2
Disponible	Region 12	Aldea Savia F2	 G64	Planta baja	Departamento	2	2
Disponible	Bahia Principe	Anah Suites	C307	Primer Piso	Departamento	2	3
Disponible	Kukulkan	Mistiq Tulum	A302	Tercer Piso	PentHouse	3	3
Disponible	La Veleta	Smart Depas	C309	PenThouse	PentHouse	3	2
Disponible	Aldea Zama	Calakmul	101	Planta baja	Departamento	3	3.5
Disponible	Aldea Zama	Yaxiik	32	Planta baja	Casa	3	3.5
Disponible	Holistika	Villa Tuunich	1	Planta baja	Villa	2	3
Disponible	Kukulkan	Adora	111	Planta baja	Departamento	2	2
Disponible	Kukulkan	Mistiq Tulum	G104	Planta baja	Departamento	2	2
Disponible	Region 15	Casa Amal	-	Planta baja	Casa	4	4
Disponible	Bahia Principe	Downtown	29	Planta baja	Villa	2	2.5
Disponible	Aldea Zama	Art House	8-201	Primer Piso	Departamento	2	2
Disponible	Kukulkan	Mistiq Tulum	H201	Primer Piso	Departamento	2	2
Disponible	Kukulkan	Mistiq Tulum	H204	Primer Piso	Departamento	2	2
Disponible	Region 15	Mistiq Gardens I	305	Segundo Piso	Departamento	2	2
Disponible	Centro	Maria Tulum	203	Primer Piso	Departamento	2	2.5
Disponible	Limas	Limas Tulum	402 (sin muebles)	Planta baja	Departamento	3	3
Disponible	Aldea Zama	Omara	210	Primer Piso	Departamento	2	2
Disponible	La Veleta	Casa Veleta	-	Planta baja	Casa	2	2.5
Disponible	Holistika	Ahal 1	102	Planta baja	Departamento	2	2.5
Disponible	Kukulkan	Mistiq Tulum	J303	Segundo Piso	Departamento	2	2
Disponible	Region 15	Mistiq Gardens I	209	Segundo Piso	Departamento	2	2
Disponible	Aldea Zama	Miraluna	133	Planta baja	Departamento	2	2
Disponible	Aldea Zama	Aru Tulum	103	Planta baja	Departamento	3	2
Disponible	Aldea Zama	Coba II	PH22	PenThouse	PentHouse	3	4
Disponible	Aldea Zama	Paramar Viva	304	PenThouse	PentHouse	2	2
Disponible	Riviera Tulum	Casa Pocahontas	-	Planta baja	Casa	4	4
Disponible	Riviera Tulum	Casa Fran	-	Planta baja	Casa	4	4
Disponible	Riviera Tulum	Casa Flip	-	Planta baja	Casa	4	4
Disponible	Mun Tulum	Mun Townhouse	12	Planta baja	TownHouse	3	5
Disponible	La Veleta	Cuatro Cielos Tulum	Villa Sur	Planta baja	Villa	2	2
Disponible	La Veleta	Cuatro Cielos Tulum	Villa Oeste	Planta baja	Villa	2	2
Disponible	Aldea Zama	Miraluna	112	Planta baja	Departamento	2	2
Disponible	Bahia Principe	Downtown	6	Planta baja	Villa	3	2.5
Disponible	Kukulkan	Mistiq Tulum	A204	Primer Piso	Departamento	2	2
Disponible	Kukulkan	Mistiq Tulum	B201	Segundo Piso	Departamento	2	2
Disponible	Kukulkan	Mistiq Tulum 	B204	Segundo Piso	Departamento	2	2
Disponible	Region 15	Siwa	D1-105	Primer Piso	Departamento	2	2
Disponible	Bahia Principe	Downtown 	40	Planta baja	Villa	2	2,5
Disponible	Centro	Mun Tulum	33	Planta baja	Casa	4	4.5
Disponible	Holistika	Casa Noni	-	Planta baja	Villa	3	3.5
Disponible	La Veleta	Tanik Hotel	Boho	PenThouse	PentHouse	4	3
Disponible	La Veleta	Tanik Hotel	Dark Penth	PenThouse	PentHouse	3	4
Disponible	La Veleta	Villa Lool	-	Planta baja	Villa	4	4
Disponible	Aldea Zama	Miraluna	341	Tercer Piso	Departamento	2	2
Disponible	La Veleta	Central Park 	E	PenThouse	PentHouse	3	3
Disponible	Region 15	Mistiq Villas	28	Planta baja	Villa	3	3
Disponible	Region 11	Casa Camel	-	Planta baja	Casa	3	3
Disponible	Akumal	Siete Gotas		Planta baja	Departamento	3	2
Disponible	Limas	Limas Tulum	901 (sin muebles)	Planta baja	Departamento	4	4.5
Disponible	La Veleta	Asana Leaf 	Casa 1	Planta baja	Casa	4	4
Disponible	Aldea Zama	Origen Jungle	3D	PenThouse	PentHouse	3	3
Disponible	Kukulkan	Mistiq Tulum	D302	PenThouse	PentHouse	3	3
Disponible	La Veleta	Asana 	1	Planta baja	Casa	4	4
Disponible	Kukulkan	Mistiq Tulum	H301	Tercer Piso	PentHouse	3	3
Disponible	Region 15	Casa Ananta	-	Planta baja	Casa	4	4
Disponible	Region 15	Mistiq Gardens I	302	PenThouse	PentHouse	3	3
Disponible	Region 15	Mistiq Gardens I	104	Primer Piso	Departamento	3	3
Disponible	Region 15	Mistiq Villas	25	Planta baja	Villa	3	3
Disponible	Region 15	Mistiq Villas	26	Planta baja	Villa	3	3
Disponible	Region 15	Mistiq Villas	20	Planta baja	Villa	3	3
Disponible	Region 15	Mistiq Gardens I	222	Tercer Piso	Departamento	3	3
Disponible	Region 15	Mistiq Temple II	C402	PenThouse	PentHouse	2	2
Disponible	Region 15	Mistiq Villas	7	Planta baja	Villa	3	3.5
Disponible	Chemuyil	Casa Chemuyil 	-	Planta baja	Casa	6	6
Disponible	Region 15	Mistiq Temple II	C303	Tercer Piso	Departamento	2	2
Disponible	Kukulkan	Mistiq Tulum	G301	Tercer Piso	PentHouse	3	3
Disponible	Aldea Zama	Casa Nirvana	-	Planta baja	Casa	4	3.5
Disponible	Kukulkan	Mistiq Tulum	D301	PenThouse	PentHouse	3	3
Disponible	Kukulkan	Mistiq Tulum	H303	Tercer Piso	PentHouse	3	3
Disponible	La Veleta	Green Oasis	-	Planta baja	Casa	4	4
Disponible	Aldea Zama	Miraluna	322	PenThouse	PentHouse	3	4
Disponible	Kukulkan	Mistiq Tulum	B303	PenThouse	PentHouse	3	3
Disponible	Kukulkan	Mistiq Tulum	D303	Tercer Piso	Departamento	3	3
Disponible	La Veleta	Asana Leaf 	4	Planta baja	Casa	4	4
Disponible	Aldea Zama	Amelia	107	Planta baja	Departamento	3	3
Disponible	La Veleta	Casa armonia 	-	Planta baja	Casa	5	5
Disponible	La Veleta	The secret garden 	-	Planta baja	Villa	6	6
Disponible	La Veleta	Casa Libelula	-	Planta baja	Casa	5	4
Disponible	Region 15	Mistiq Temple I	A401	PenThouse	PentHouse	3	3
Disponible	Aldea Zama	Villa G		Planta baja	Casa	6	7
Disponible	Centro	Edificio BAHA	6 depas	A disponibilidad	Edificio	6	6
Disponible	Tumben kaa	Casa Tigrillo	-	Planta baja	Casa	3	4
Disponible	Aldea Zama	La Privada	49	Planta baja	Casa	4	5
Disponible	Centro	Hotel Kassia		Planta baja	Edificio	13	13
Disponible	Centro	Locales Plaza Hexa		A disponibilidad	Local Comercial		
Disponible	Aldea Zama	Casa Kuk	-	Planta baja	Casa	5	5
Disponible	Region 15	Casa Arroqueño	-	Planta baja	Casa	4	5
Disponible	La Veleta	Lighthouse	-	Planta baja	Casa	5	5.5
Disponible	La Veleta	Villas Kuxtal		Planta baja	Villa	6	6,2
Disponible	Kukulkan	Adora	7	Planta baja	Villa	3	3
Disponible	Aldea Zama	Casa Alia	-	Planta baja	Casa	3	3.5
Disponible	Kukulkan	Adora	Villa 1	Planta baja	Casa	4	4
Disponible	Kukulkan	Adora	Villa 5 (solo vacacional)	Planta baja	Casa	5	5
Disponible	La Veleta	Edificio Baay			Edificio	8	8
Disponible	La Veleta	Villa El Canto		Planta baja	Villa	7	7
Disponible	Region 15	Majaro		Planta baja	Casa	12	13
Disponible	Aldea Tulum	Aldea Tulum	Fer	Primer Piso	Departamento	2	1
Disponible	Aldea Zama	Locales parques Zama	T3 #2	Planta baja	Local Comercial		
Disponible	Aldea Zama	Locales parques Zama	T3 #4	Planta baja	Local Comercial		
Disponible	Aldea Zama	Locales parques Zama	T4 #2	Planta baja	Local Comercial		
Disponible	Aldea Zama	Locales parques Zama	T4 #1	Planta baja	Local Comercial		
Disponible	Aldea Zama	Locales parques Zama	T3 #1	Planta baja	Local Comercial		
Disponible	Aldea Zama	Locales parques Zama	T4 #4	Planta baja	Local Comercial		
Disponible	Aldea Zama	Locales parques Zama	T2 #4	Planta baja	Local Comercial	2	
No Disponible	Holistika	Casa Risueña 	-	Planta baja	Casa	5	4.5
No Disponible	Holistika	Casa Risueña PB	-	Planta baja	Casa	3	2
No Disponible	Holistika	Casa Risueña PA	-	Primer Piso	Departamento	2	2
No Disponible	Tumben kaa	Casa Malix	-	Planta baja	Casa	7	7
No Disponible	Tumben kaa	Casitas	Casita 2	Primer Piso	Departamento	1	1
No Disponible	Tumben kaa	Xunik 	T1 #301(sin muebles)	Primer Piso	Studio	0	1
No Disponible	Region 15	Muuk	103	Planta baja	Studio	0	1
No Disponible	Region 15	Areia 	F2 18	Segundo Piso	Studio	0	1
No Disponible	La Veleta	Rama 	111	Planta baja	Studio	0	1
No Disponible	Tumben kaa	Casitas	Casita 1	Planta baja	Casa	1	1
No Disponible	Region 15	Muuk	112	Planta baja	Studio	0	1
No Disponible	Aldea Zama	Estudio en renta		Primer Piso	Studio	0	1
No Disponible	Tumben kaa	Tejon	E103	Primer Piso	Departamento	1	1
No Disponible	La Veleta	Mulatte	6B		Departamento	1	1
No Disponible	La Veleta	Zona Nove	4	Primer Piso	Departamento	1	1
No Disponible	La Veleta	Xamira Fase 1	8	Planta baja	Studio	0	1
No Disponible	Aldea Tulum	Aldea tulum F3	16	Tercer Piso	Departamento	2	1
No Disponible	La Veleta	Cacao	203A	Primer Piso	Studio	0	1
No Disponible	La Veleta	Cacao	204B	Primer Piso	Studio	0	1
No Disponible	Region 15	Muuk	310	Segundo Piso	Studio	0	1
No Disponible	La Veleta	Xamira Fase 1	25	Primer Piso	Studio	0	1
No Disponible	Villas Tulum	Paam Cheel	202	Primer Piso	Studio	1	1
No Disponible	La Veleta	Cacao	E101	Planta baja	Studio	0	1
No Disponible	La Veleta	Erena	301 (sin muebles)	Primer Piso	Studio	0	1
No Disponible	La Veleta	Mulatte	5		Studio	0	1
No Disponible	Region 15	Neo +	3	Planta baja	Studio	0	1
No Disponible	Aldea Zama	solum	307b	Segundo Piso	Studio	0	1
No Disponible	Aldea Zama	Elle Residences	203	Primer Piso	Studio	0	1
No Disponible	Kukulkan	Naia Tulum 	C15	Primer Piso	Studio	0	1
No Disponible	Centro	Mama Blue	Dharma	Planta baja	Casa	1	1
No Disponible	Tumben kaa	Xunik	B102	Planta baja	Studio	0	1
No Disponible	La Veleta	Casa Chehchen	estudio sky	Primer Piso	Studio	0	1
No Disponible	Aldea Zama	Parque Zama	T5 202	Segundo Piso	Studio	0	1
No Disponible	La Veleta	Buena Vida	13	Segundo Piso	Departamento	1	1
No Disponible	La Veleta	Central Park Lagunas 	B115	Planta baja	Studio	0	1
No Disponible	Aldea Tulum	Aldea Tulum	5		Departamento	2	2
No Disponible	La Veleta	Rama	202	Primer Piso	Studio	0	1
No Disponible	La Veleta	Zen 	S10	Tercer Piso	Studio	0	1
No Disponible	La Veleta	Smart Depas 	B307	Tercer Piso	Departamento	1	1
No Disponible	La Veleta	Smart Depas	A304	Segundo Piso	Departamento	1	1
No Disponible	La Veleta	Rosa de Plata	F101	Segundo Piso	Studio	0	1
No Disponible	Centro	Mama Blue	La Vie Boheme	Planta baja	Loft	1	1
No Disponible	Region 15	Areia 	F3 #7	Segundo Piso	Departamento	1	1
No Disponible	La Veleta	Erena	107 (sin muebles)	Planta baja	Studio	0	1
No Disponible	La Veleta	Balba	1	Planta baja	Studio	0	1
No Disponible	La Veleta	Mulatte		Primer Piso	Departamento	1	1
No Disponible	Aldea Zama	Estela Tulum	D203	Primer Piso	Departamento	1	1
No Disponible	Tumben kaa	Xunik	T1 #105	Planta baja	Studio	0	1
No Disponible	Aldea Tulum	Aldea Tulum	2		Departamento	2	2
No Disponible	Aldea Tulum	Aldea Tulum	3		Departamento	2	2
No Disponible	Aldea Tulum	Aldea Tulum	4		Departamento	2	2
No Disponible	Aldea Tulum	Aldea Tulum	6		Departamento	2	2
No Disponible	Aldea Tulum	Mz 65 ed B2 dto 302			Departamento	2	1
No Disponible	La Veleta	Rama	110	Planta baja	Departamento	1	1
No Disponible	Aldea Tulum	aldea tulum 	15	Segundo Piso	Departamento	2	1
No Disponible	La Veleta	DK Tulum	5	Planta baja	Departamento	1	1
No Disponible	La Veleta	Central Park Lagunas 	E303	Primer Piso	Studio	0	1
No Disponible	Centro	Mama Blue	Gypsea Loft	Planta baja	Loft	1	1
No Disponible	Centro	Mama Blue	boho	Planta baja	Loft	1	1
No Disponible	La Veleta	Zen	3	Planta baja	Studio	0	1
No Disponible	La Veleta	Kasa Mate		Planta baja	Departamento	1	1
No Disponible	La Veleta	Xamira Fase 1	14	Planta baja	Studio	0	1
No Disponible	Kukulkan	Waves	A108	Planta baja	Studio	0	1
No Disponible	Centro	Menesse	127	Segundo Piso	Studio	0	1
No Disponible	La Veleta	Cacao	C302	PenThouse	studio PH	0	1
No Disponible	Villas Tulum	Paam Cheel	104	Planta baja	Studio	0	1
No Disponible	Region 15	Muuk	301	Primer Piso	Studio	0	1
No Disponible	La Veleta	Che Condo	1	Planta baja	Departamento	1	1
No Disponible	Tumben kaa	Loft Mayapax		Planta baja	Loft	2	1
No Disponible	Aldea Tulum	Aldea Tulum	10		Departamento	2	1
No Disponible	Aldea Tulum	Aldea Tulum	8		Departamento	2	2
No Disponible	Aldea Tulum	Aldea Tulum	9		Departamento	2	2
No Disponible	Aldea Tulum	Aldea Tulum	11		Departamento	2	2
No Disponible	Aldea Tulum	Aldea Tulum	12		Departamento	2	2
No Disponible	Aldea Tulum	Aldea tulum 	201	Planta baja	Departamento	2	1
No Disponible	La Veleta	Smart Depas	B107	Planta baja	Departamento	1	1
No Disponible	La Veleta	Zena Liza	A	Planta baja	Duplex	1	2
No Disponible	La Veleta	Kamil Ha	201	Primer Piso	Departamento	1	1
No Disponible	La Veleta	DK Tulum	124	Segundo Piso	Studio	0	1
No Disponible	Aldea Tulum	Mza.22 Ed. R1 Dpto 202	7		Departamento	2	2
No Disponible	La Veleta	Erena	309	Tercer Piso	Studio	0	1
No Disponible	Centro	Casa Boho 	-	Planta baja	Loft	1	1
No Disponible	La Veleta	Rosa de Plata	306	Tercer Piso	Studio	0	1
No Disponible	La Veleta	Xperience Residences	5	Primer Piso	Departamento	1	1
No Disponible	Selva Norte	Kayum	102	Planta baja	Departamento	2	2
No Disponible	La Veleta	Piaf	1	Planta baja	Departamento	1	1
No Disponible	Region 12	Aldea Savia 	603E	Planta baja	Studio	0	1
No Disponible	Kukulkan	Blue Luxury Kukulkan	01 C	Planta baja	Departamento	1	1
No Disponible	Region 12	Aldea Savia F2	523	Primer Piso	Studio	0	1
No Disponible	La Veleta	Palalma Tierra	19	Primer Piso	Departamento	1	1
No Disponible	La Veleta	Rama	301	Tercer Piso	Departamento	1	1
No Disponible	La Veleta	Xeiba	202	Primer Piso	Studio	0	1
No Disponible	La Veleta	Via Aqua	102	Primer Piso	Studio	0	1
No Disponible	La Veleta	Palalma Tierra	11	Primer Piso	Departamento	1	1
No Disponible	La Veleta	Tierra Blanca	302	Segundo Piso	Studio	0	1
No Disponible	Aldea Tulum	Aldea Tulum Plus	T52	Tercer Piso	Departamento	2	1
No Disponible	La Veleta	Palalma Tierra	38	Segundo Piso	Departamento	1	1
No Disponible	Centro	Tierra Santa	204	Primer Piso	Departamento	1	1
No Disponible	Kukulkan	Naia Tulum	B11	Primer Piso	Departamento	1	1
No Disponible	Tumben kaa	Jabali	13	Primer Piso	Departamento	2	1
No Disponible	Aldea Zama	Town Center	T7 #308 (semiamob)	Tercer Piso	Departamento	1	1
No Disponible	La Veleta	Casa Chehchen	casa laura	Primer Piso	Casa	1	1
No Disponible	Aldea Zama	Eve Residences			Studio	0	1
No Disponible	La Veleta	Heavens Lagoon	7	Planta baja	Departamento	1	1
No Disponible	Region 12	Aldea Savia	511	Primer Piso	Studio	0	1
No Disponible	Kukulkan	Chaac	13	Planta baja	Studio	0	1
No Disponible	Region 15	Casa Pala	-	Primer Piso	Casa	 	1
No Disponible	Region 15	Casa Laguna	204 sin muebles	Primer Piso	Departamento	1	1
No Disponible	La Veleta	Erena	106	Planta baja	Studio	0	1
No Disponible	Region 15	Koah	5	Planta baja	Studio	0	1
No Disponible	La Veleta	Terra Ego	301	Tercer Piso	Departamento	2	1
No Disponible	Tumben kaa	Edificio Jabali	12	Primer Piso	Departamento	2	1
No Disponible	Tumben kaa	Edifcio Jabali 	14	Primer Piso	Departamento	2	1
No Disponible	La Veleta	Sukha	308	Tercer Piso	Departamento	1	1
No Disponible	Region 15	Mistiq Temple I	C301	Segundo Piso	Studio	0	1
No Disponible	Region 15	Mistiq Temple II	B304	Segundo Piso	Studio	0	1
No Disponible	Region 15	Mistiq Temple II	B305	Segundo Piso	Studio	0	1
No Disponible	La Veleta	Palalma Tierra	15	Primer Piso	Departamento	1	1
No Disponible	Aldea Zama	Lik Zama 	202	Primer Piso	Studio	1	1
No Disponible	Aldea Zama	Tao	123	Planta baja	Departamento	2	2
No Disponible	La Veleta	Palalma Tierra 	16	Primer Piso	Departamento	1	1
No Disponible	La Veleta	Condos Ocho 	C3	Primer Piso	Departamento	1	1
No Disponible	Centro	Tuk tulum	Fuego 111			1	1
No Disponible	Aldea Zama	Paramar Viva	134	Primer Piso	Departamento	1	1
No Disponible	Centro	Tuk Tulum	Fuego 17	Planta baja	Studio	0	1
No Disponible	Region 15	AAK	l1	Planta baja	Departamento	1	1
No Disponible	Region 15	Mistiq Gardens I	9	Planta baja	Loft	1	1
No Disponible	Kukulkan	Chaac	14	Planta baja	Studio	0	1
No Disponible	Kukulkan	Naia Tulum	C34	Primer Piso	Departamento	2	2
No Disponible	Aldea Tulum	ALDEA TULUM PLUS	T48 2A	Primer Piso	Departamento	2	2
No Disponible	La Veleta	Sukha	301	Segundo Piso	Departamento	1	1
No Disponible	La Veleta	Zona Nove	3	Primer Piso	Departamento	2	2
No Disponible	La Veleta	Palalma Tierra	21	Tercer Piso	Departamento	1	1
No Disponible	La Veleta	Palalma Tierra	26	Tercer Piso	Departamento	1	1
No Disponible	Aldea Zama	Quinto Sol	14	Primer Piso	Departamento	2	2
No Disponible	Aldea Zama	Ophelia		Primer Piso	Studio	0	1
No Disponible	Region 8	Recinto	B8	Primer Piso	Departamento	1	1
No Disponible	La Veleta	Erena	203	Primer Piso	Studio	0	1
No Disponible	Tumben kaa	Miel y almendras	4	Primer Piso	Departamento	1	1
No Disponible	Aldea Zama	Quinto sol	23	Segundo Piso	Departamento	1	1
No Disponible	Tumben kaa	Edificio Jabali	21	PenThouse	PentHouse	2	1
No Disponible	Tumben kaa	Edificio Jabali	26	PenThouse	PentHouse	2	1
No Disponible	Kukulkan	Adora	409	Tercer Piso	Studio	0	1
No Disponible	La Veleta	Siddartha 	106	Segundo Piso	Departamento	2	2
No Disponible	Aldea Zama	Quinto Sol	16	Primer Piso	Departamento	2	3
No Disponible	Region 12	Aldea Savia	211	Segundo Piso	Departamento	1	1
No Disponible	Region 15	AAK	D3	Tercer Piso	Departamento	1	2
No Disponible	La Veleta	Cacao 	C202	Primer Piso	Departamento	1	1
No Disponible	Tumben kaa	Luz Tulum	D302	Segundo Piso	Departamento	2	2
No Disponible	Tumben kaa	Edificio Jabali	PH Sin muebles	PenThouse	PentHouse	2	1
No Disponible	Aldea Zama	Oceano	6	PenThouse	PentHouse	1	2
No Disponible	La Veleta	Naia Naay	H305	Primer Piso	Departamento	2	1
No Disponible	La Veleta	Casa Selva	-	Primer Piso	Departamento	1	1
No Disponible	Villas Tulum	VILLAS TULUM		Planta baja	Departamento	1	1
No Disponible	Tumben kaa	Tulix	Casa #8	Planta baja	Casa	2	3
No Disponible	Kukulkan	Naia Tulum 	A13	Primer Piso	Studio	0	1
No Disponible	La Veleta	Seremonia	studio	Planta baja	Studio	0	1
No Disponible	La Veleta	Cacao	B201	Primer Piso	Studio	0	1
No Disponible	La Veleta	Cacao	C103	Planta baja	Studio	0	1
No Disponible	La Veleta	Cacao	E102	Planta baja	Studio	0	1
No Disponible	Bahia Principe	Tao TSE	m2	Primer Piso	Departamento	1	1
No Disponible	Villas Tulum	Homes	1er nivel	Primer Piso	Departamento	2	2.5
No Disponible	Aldea Zama	Alma de Flores	304	Segundo Piso	Departamento	1	1
No Disponible	La Veleta	DK Tulum	1	Planta baja	Departamento	1	1
No Disponible	Aldea Zama	Quinto sol	7	Primer Piso	Departamento	1	1
No Disponible	La Veleta	Kantuun	T2 B3	Primer Piso	Departamento	1	1
No Disponible	Kukulkan	Adora	402	Tercer Piso	Studio	0	1
No Disponible	Aldea Zama	Paramar Ve	101	Primer Piso	Departamento	1	1
No Disponible	La Veleta	Heaven	E	Segundo Piso	Departamento	1	1.5
No Disponible	Region 12	Aldea Savia F1	121	Primer Piso	Departamento	1	1
No Disponible	Tumben kaa	Luz Tulum	F101	Planta baja	Departamento	2	2
No Disponible	La Veleta	Coco Village	B1	Planta baja	Departamento	1	2
No Disponible	Aldea Zama	Zama Village	Casa Elisa	Planta baja	Departamento	2	2
No Disponible	Region 15	Mistiq Gardens I	18		Loft	1	1
No Disponible	Tumben kaa	Ka An		Planta baja	Departamento	2	1
No Disponible	Tumben kaa	Ka An Tulum		Primer Piso	Departamento	2	2
No Disponible	La Veleta	Casa Imox	02A	Planta baja	Departamento	1	1.5
