"id","name","description","address","zone","total_units","is_active","created_at"
"243b5545-e978-4d3b-9f5e-85bfb14059a3","Casa Kuk","","","","1","true","2025-11-24T23:52:57.240Z"
"86c68b3f-12dc-4b31-b764-218ace9e0aaa","Casa Laguna","","","","4","true","2025-11-24T23:52:57.240Z"
"707f1dca-e920-4a16-879a-b6e2823aa57e","Casa Lagunas","","","","1","true","2025-11-24T23:52:57.240Z"
"507bcd0d-b6b0-44d6-9633-bbf384c2c7d7","Casa Libelula","","","","1","true","2025-11-24T23:52:57.240Z"
"54c6b87e-7294-4591-a223-4090b9f230cf","Casa Lili","","","","1","true","2025-11-24T23:52:57.240Z"
"3e515a4e-05a9-41ed-b240-fddd76250dac","Casa Malix","","","","1","true","2025-11-24T23:52:57.240Z"
"d2d59bf0-0ba1-42df-8aa4-e8a723b7d96a","Casa Marta","","","","1","true","2025-11-24T23:52:57.240Z"
"9ff9ac26-afd2-48ce-8fe8-2b50d3492ca2","Casa Melodia","","","","1","true","2025-11-24T23:52:57.240Z"
"e49db840-2b66-40f8-b9f0-3d13eba4e1b3","Casa Melón","","","","1","true","2025-11-24T23:52:57.240Z"
"b43c79aa-2a6c-458c-b03a-eb81b049df36","Casa Mono","","","","1","true","2025-11-24T23:52:57.240Z"
"44adad23-46f7-4ee7-9eb5-71b5a1bf772a","Casa Nance","","","","1","true","2025-11-24T23:52:57.240Z"
"aa77d292-a83e-4e20-a292-f49854223ff3","Casa Natura","","","","2","true","2025-11-24T23:52:57.240Z"
"64b56231-0d09-4028-bbe8-558a0c302def","Casa Nirvana","","","","1","true","2025-11-24T23:52:57.240Z"
"15931ea7-3cb8-4ddd-a3a9-1a3dba4bb4df","Casa Noni","","","","1","true","2025-11-24T23:52:57.240Z"
"3ca20cb6-9c24-4de3-985d-4b7ab0ae94dd","Blue Luxury Kukulkan","","","","5","true","2025-11-24T23:56:05.114Z"
"9b2554b4-db1c-4234-b6d2-13e96aa6093b","Casa Olivia","","","","1","true","2025-11-24T23:56:05.266Z"
"9a7db8bd-5e78-41de-9e1b-374b6982171c","Casa Pala","","","","1","true","2025-11-24T23:56:05.380Z"
"8ce71d46-45de-45c5-8269-2563128cc5e0","Casa Paradise","","","","1","true","2025-11-24T23:56:05.494Z"
"4bdf91a5-f875-48f5-baac-6e632ba8f7d1","Casa Pocahontas","","","","1","true","2025-11-24T23:56:05.606Z"
"c8939e96-655d-406d-bfc5-abadace037d1","Casa Privada","","","","1","true","2025-11-24T23:56:05.719Z"
"bf5d17c6-99f6-4b14-bbde-8d189b2ed92c","Casa Privada En La Veleta","","","","1","true","2025-11-24T23:56:05.831Z"
"0d1983e4-4567-4833-9f5b-58ef752b1641","Casa Purusha","","","","1","true","2025-11-24T23:56:05.944Z"
"4669173c-dcd1-4a41-bb8c-e0ba7740bb66","Casa Risueña","","","","1","true","2025-11-24T23:56:06.057Z"
"5c27e0fb-e976-45b7-82bb-fea459fe0ab0","Casa Risueña Pa","","","","1","true","2025-11-24T23:56:06.169Z"
"ad15da04-6c17-44e6-89df-60e00927f219","Casa Risueña Pb","","","","1","true","2025-11-24T23:56:06.282Z"
"3717e947-4ba1-45ab-bc5f-b2d1cb433d43","Casa Riviera Tulum (sin Muebles)","","","","1","true","2025-11-24T23:56:06.394Z"
"2c8f3768-245a-435e-b2c1-41e43f859b48","Casa Rosi","","","","1","true","2025-11-24T23:56:06.507Z"
"cfe2f1a8-de99-4d64-9c60-cf651f1c859a","Casa Santiago","","","","1","true","2025-11-24T23:56:06.620Z"
"2a68e736-2220-42bb-846c-8eb9c35008bc","Casa Selva","","","","1","true","2025-11-24T23:56:06.757Z"
"c93eac6d-5e97-4d6d-a768-b6b713990552","Casa Sylvia","","","","1","true","2025-11-24T23:56:06.876Z"
"81aa4deb-a7c8-4738-825e-3ddeadfe0c5e","Casa Tepy","","","","1","true","2025-11-24T23:56:06.991Z"
"4be51065-3496-44d1-ab15-cb1044a2bdb1","Casa Tigrillo","","","","1","true","2025-11-24T23:56:07.103Z"
"9ca9e890-7fb1-4c66-a8a1-2e06d1b16a68","Casa Toh (surenna)","","","","1","true","2025-11-24T23:56:07.214Z"
"2693e627-7250-40e7-bcf5-18a9b9b83b69","Casa Veleta","","","","1","true","2025-11-24T23:56:07.326Z"
"ea60df9d-8e26-4c9a-af78-6065b71435b4","Casa Veleta 6br","","","","1","true","2025-11-24T23:56:07.437Z"
"ebb9091b-e4ed-4a62-bffa-d202fd8f89b1","Casa Veleta Flores","","","","1","true","2025-11-24T23:56:07.552Z"
"0a0f6a19-071c-4b97-bbcb-4c74babbc16e","Casa Venado","","","","1","true","2025-11-24T23:56:07.664Z"
"efb5d803-7e6b-4d14-b2fc-e05842f507ed","Casa Yaax","","","","1","true","2025-11-24T23:56:07.777Z"
"34604a94-b7a9-4f61-99b4-bf7f43a15414","Casitas","","","","2","true","2025-11-24T23:56:07.904Z"
"b39b4745-5218-43fe-80cd-53054ff7f18a","Ceiba","","","","1","true","2025-11-24T23:56:08.017Z"
"d0cea0df-56da-4b1c-8469-a0755f4390d3","Central Park","","","","1","true","2025-11-24T23:56:08.128Z"
"fed384a6-cf4c-4dd7-9a50-df1b20183755","Central Park Lagunas","","","","5","true","2025-11-24T23:56:08.239Z"
"8711ba54-6324-49ae-8444-e1f2935189c6","Chaac","","","","6","true","2025-11-24T23:56:08.351Z"
"eb9e7a35-de1b-40e9-95ce-4b2fc6d86309","Che Condo","","","","1","true","2025-11-24T23:56:08.463Z"
"7fc9ef29-055d-40cf-8594-b5d0edba6195","Chen","","","","4","true","2025-11-24T23:56:08.576Z"
